Year,State,CD #,Total Congressional Votes,Congressional D Votes,Congressional R Votes
2024,NY,8,241150,168036,54863
2024,NY,9,253334,173207,60064
2024,OH,1,391909,213916,177993
2024,OH,10,370746,145420,213695
2024,OH,11,302413,236883,59394
2024,OH,12,380188,119738,260450
2024,OH,13,386390,197466,188924
2024,OH,14,383858,140431,243427
2024,OH,15,347749,151411,196338
2024,OH,2,364616,96401,268211
2024,OH,3,342987,242632,100355
2024,OH,4,399202,125905,273297
2024,OH,5,378657,123024,255633
2024,OH,6,368375,122515,245860
2024,OH,7,400371,144613,204494
2024,OH,8,378128,140625,237503
2024,OH,9,375195,181098,178716
2024,OK,1,312501,107903,188832
2024,OK,2,321025,68841,238123
2024,OK,3,1,0,1
2024,OK,4,306473,86641,199962
2024,OK,5,342107,134471,207636
2024,OR,1,351991,241556,98908
2024,OR,2,351489,115337,224601
2024,OR,3,334369,226405,84344
2024,OR,4,378765,195862,166430
2024,OR,5,401293,191365,180420
2024,OR,6,339065,180869,157634
2024,PA,1,463432,202042,261390
2024,PA,10,406001,200434,205567
2024,PA,11,403313,149641,253672
2024,PA,12,416228,234802,181426
2024,PA,13,406283,104823,301460
2024,PA,14,403135,134755,268380
2024,PA,15,390435,111408,279027
2024,PA,16,403632,146709,256923
2024,PA,17,450738,242838,207900
2024,PA,2,271046,193691,77355
2024,PA,3,340223,340223,0
2024,PA,4,455523,269066,186457
2024,PA,5,410109,267754,142355
2024,PA,6,419263,235625,183638
2024,PA,7,403314,199626,203688
2024,PA,8,385074,189411,195663
2024,PA,9,391735,115523,276212
2024,RI,1,221118,139352,70742
2024,RI,2,263480,153439,109381
2024,SC,1,390777,162582,227502
2024,SC,2,355285,142985,211514
2024,SC,3,346713,87735,248451
2024,SC,4,346414,128976,206916
2024,SC,5,359409,130592,228260
2024,SC,6,305977,182056,112360
2024,SC,7,370329,129522,240326
2024,SD,AL,421448,117818,303630
2024,TN,1,330199,64021,257825
2024,TN,2,362098,111316,250782
2024,TN,3,350328,102841,236519
2024,TN,4,313255,83832,219133
2024,TN,5,360714,142387,205075
2024,TN,6,331687,106144,225543
2024,TN,7,322656,122764,191992
2024,TN,8,332315,85043,240411
2024,TN,9,223703,159522,57411
2024,TX,1,258523,0,258523
2024,TX,10,347818,118280,221229
2024,TX,11,211975,0,211975
2024,TX,12,339718,124154,215564
2024,TX,13,240622,0,240622
2024,TX,14,306195,95875,210320
2024,TX,15,223769,95965,127804
2024,TX,16,220828,131391,89281
2024,TX,17,291042,97941,193101
2024,TX,18,218720,151834,66810
2024,TX,19,266375,0,214950
2024,TX,2,326883,112252,214631
2024,TX,20,157890,157890,0
2024,TX,21,426423,153765,263744
