State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,Voting Age Total Population (VAP),White VAP,Hispanic VAP,Black VAP,Asian VAP,Native American VAP,Pacific VAP,Total Population,White Population,Hispanic Population,Black Population,Asian Population,Native American Population,Pacific Population,Pres 2020 Total Votes,Pres 2020 D Votes,Pres 2020 R Votes,Pres 2024 Total Votes,Pres 2024 D Votes,Pres 2024 R Votes
CA,26,2026,0.42,67,0.16,15,33,,,,,,,586171,273185,222823,19092,63090,19768,2980,760067,325269,317496,27666,83629,26469,4375,377422,227110,142642,343374,193089,140597
CA,27,2026,0.33,31,0.15,12,17,,,,,,,573673,197152,243035,64943,64206,19575,2739,760067,236158,346015,91928,84756,27070,3850,329919,193710,128922,296071,157992,129114
CA,28,2026,0.39,55,0.18,21,38,,,,,,,617402,173734,158745,30785,252396,14332,2296,760065,200882,210705,39703,309055,18006,3074,368031,240596,120216,326776,199321,116646
CA,29,2026,0.44,74,0.29,47,52,,,,,,,594802,149431,354370,31306,57598,21631,1923,760066,173399,477560,41594,71093,29034,3035,278708,205835,66753,239025,156032,75625
CA,30,2026,0.38,51,0.16,15,26,,,,,,,649328,370538,142712,31706,97701,13788,2280,760066,421462,178511,37865,115816,16574,2955,382071,273452,101697,341501,233206,96623
CA,31,2026,0.3,21,0.14,11,33,,,,,,,599214,125262,318549,26640,127749,21377,2664,760066,142414,429185,35896,156798,27923,3665,330596,203333,120410,291926,159433,123733
CA,32,2026,0.37,49,0.16,15,30,,,,,,,619152,345723,141119,31404,93552,13046,2454,760065,405502,189453,40523,117321,17071,3283,396309,261121,127773,359671,219580,129616
CA,33,2026,0.23,0,0.12,4,16,,,,,,,555062,115624,316848,67659,52444,21173,3258,760067,138544,459436,94798,70671,30747,5113,275681,170325,99061,248383,132778,108364
CA,34,2026,0.37,48,0.21,26,35,,,,,,,610534,75535,376198,34589,124324,26973,1978,760067,82569,497280,43195,142435,30645,3067,253311,205047,42312,214522,156727,48089
CA,35,2026,0.38,53,0.14,11,23,,,,,,,577039,120955,319535,44031,89780,21377,3409,760066,140468,446255,58639,117674,29619,4817,290094,176058,107853,260394,136333,116142
CA,36,2026,0.31,25,0.2,26,33,,,,,,,634602,365202,98080,30729,130379,11578,3485,760066,420849,126932,39243,161956,14593,4551,421859,299632,113497,385607,261900,111111
CA,37,2026,0.44,75,0.3,49,55,,,,,,,592275,86465,298131,156977,50445,22198,1895,760066,99490,409691,193744,60398,27007,2855,279706,239694,34727,235123,184949,42949
CA,38,2026,0.19,0,0.08,0,3,,,,,,,592018,86641,335136,10119,159257,19535,1968,760067,101616,450094,16889,196613,26207,3134,305247,192239,106965,261693,142692,110315
CA,39,2026,0.36,46,0.14,11,24,,,,,,,560865,125727,328326,58340,44170,21740,3761,760067,148509,473263,81601,57765,31797,5566,266320,164929,95580,235122,125176,102730
CA,40,2026,0.39,55,0.19,23,42,,,,,,,581307,294097,168281,31406,77859,16712,4492,760066,359388,243980,44617,103710,23671,6624,397465,179744,210083,381054,161580,208158
CA,41,2026,0.31,23,0.1,1,8,,,,,,,590880,141516,341426,29082,74938,22929,3910,760065,163158,461976,41025,95336,30513,5538,348655,215396,125512,310791,172644,128621
CA,42,2026,0.19,0,0.15,12,1,,,,,,,620533,301502,176811,42725,89548,18347,5402,760067,343883,240878,55354,111032,22928,7077,388327,227988,151313,349656,192310,146354
CA,43,2026,0.31,25,0.2,24,31,,,,,,,569643,45349,307997,155908,60171,19946,4233,760067,52450,433512,201912,75741,27444,5906,270712,218705,46038,223391,162810,53414
CA,44,2026,0.25,1,0.14,9,20,,,,,,,577278,54019,391215,63997,65567,23573,6538,760067,60389,535795,86054,81117,31427,8851,261940,197434,58412,219761,145044,67751
CA,45,2026,0.39,54,0.1,0,15,,,,,,,603306,132700,190963,19128,255728,14321,5065,760066,151712,263412,26743,316279,19358,6717,336493,182099,148046,300328,151753,139878
CA,46,2026,0.43,72,0.12,5,21,,,,,,,579828,116973,346791,15716,96490,24915,3751,760066,132689,486278,23761,119649,31768,5503,260764,164307,90684,227530,128596,91799
CA,47,2026,0.45,82,0.24,34,45,,,,,,,607214,299582,101553,16291,182129,10102,2966,760065,353573,137878,21860,238792,13660,4246,383910,219008,157105,357754,190234,154166
